step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
89,0.87,0.05289,0,0.2012,0.00817,0.007533,5e-05,1003,2153,0,0.984,0.418,0.254,0.84
90,0.8518,0.05447,0,0.1977,0.001786,0.006519,5e-05,1271,2436,0,0.953,0.459,0.319,0.822
91,0.7431,0.3013,0,0.1862,-0.005309,0.03082,5e-05,966.6,2114,0,0.812,0.394,0.287,0.73
92,0.8254,0.09676,0,0.2011,0.007036,0.01139,5e-05,1058,2237,0,0.839,0.423,0.309,0.838
93,0.8794,0.02998,0,0.1895,0.004479,0.003263,5e-05,1078,2203,0,0.979,0.427,0.369,0.857
94,0.8252,0.05123,0,0.1732,0.006448,0.00494,5e-05,1096,2473,0,0.807,0.487,0.329,0.848
95,0.6678,0.2799,0,0.1858,0.01805,0.03342,5e-05,1121,2532,0,0.62,0.463,0.267,0.697
96,0.6964,0.08254,0,0.1919,0.007709,0.009321,5e-05,1218,2601,0,0.385,0.503,0.301,0.843
97,0.8772,0.02791,0,0.1811,0.005509,0.002479,5e-05,1170,2684,0,1.0,0.512,0.374,0.836
98,0.8814,0.02965,0,0.1764,0.009316,0.00271,5e-05,1090,2708,0,1.0,0.513,0.352,0.843
99,0.8564,0.05671,0,0.1852,0.009571,0.006329,5e-05,1199,2423,0,0.922,0.463,0.298,0.844
100,0.8422,0.06938,0,0.1638,0.01503,0.006812,5e-05,1264,2685,0,0.88,0.54,0.296,0.835
101,0.8526,0.07532,0,0.1762,0.01085,0.01715,5e-05,1268,2979,0,0.953,0.591,0.367,0.812
102,0.8309,0.09139,0,0.1451,0.00392,0.007867,5e-05,1551,3409,0,0.833,0.634,0.268,0.832
103,0.8589,0.04708,0,0.189,0.006444,0.006197,5e-05,1073,2135,0,0.948,0.398,0.306,0.841
104,0.8496,0.05945,0,0.1873,0.01191,0.006635,5e-05,1187,2233,0,0.844,0.429,0.32,0.875
105,0.8296,0.1233,0,0.166,0.01587,0.02909,5e-05,1355,2740,0,0.859,0.508,0.311,0.827
106,0.8454,0.04324,0,0.1916,0.006451,0.004674,5e-05,1062,2198,0,0.844,0.416,0.298,0.869
107,0.8807,0.02444,0,0.1738,0.005161,0.002445,5e-05,1294,2649,0,0.979,0.538,0.285,0.85
108,0.8339,0.1017,0,0.1791,0.006601,0.009783,5e-05,1128,2680,0,0.812,0.507,0.307,0.858
109,0.8349,0.06075,0,0.1635,0.00293,0.005877,5e-05,1208,2559,0,0.849,0.502,0.296,0.842
